cost,word
6.230229999999999,rude
5.547400000000001,order
5.35831,worst
4.837619999999998,never
4.670760000000002,customer
4.487049999999999,told
4.048259999999999,business
4.00553,horrible
3.89351,said
3.8638699999999986,minute
3.8464599999999995,money
3.5749700000000018,asked
3.515739999999999,employee
3.113649999999999,u
3.056699999999999,terrible
3.0525900000000004,company
2.9820600000000006,called
2.9031499999999992,manager
2.8732,pm
2.87185,phone
2.82745,water
2.733510000000002,one
2.7264800000000013,say
2.6976900000000033,get
2.62962,bad
2.62662,customer_service
2.5181200000000006,people
2.49219,closed
2.41897,sick
2.4168700000000003,ordered
2.370329999999999,review
2.34309,still
2.23646,room
2.1743399999999986,call
2.16021,dry
2.14235,store
2.1322300000000003,min
2.1170999999999998,leave
2.1123700000000003,refund
2.0741799999999992,give
2.07069,hour
2.054700000000001,disgusting
2.0369400000000004,management
2.0278,received
2.0154900000000002,pay
2.0128800000000013,even
2.010920000000002,like
2.0107600000000003,waited
1.9535,awful
1.95101,waste_time
1.94156,door
1.93764,table
1.9288199999999998,wrong
1.890169999999999,drive
1.8812100000000003,beware
1.8619900000000003,move
1.8588000000000002,please
1.8319699999999999,hope
1.8238099999999997,way
1.8191100000000007,could
1.8086299999999995,waiting
1.8019500000000004,fry
1.7529600000000007,someone
1.7468400000000002,dirty
1.7453100000000006,appointment
1.74289,paid
1.7409599999999998,overpriced
1.7358599999999993,tell
1.6761400000000006,item
1.6706400000000001,going
1.66892,cold
1.6473099999999998,avoid
1.6242400000000001,bag
1.622179999999999,line
1.6221300000000007,car
1.6210399999999996,another
1.6094600000000001,run
1.5713200000000003,disappointed
1.5586400000000005,charge
1.5531499999999998,receive
1.5402200000000008,want
1.5263500000000003,show
1.51108,disappointing
1.50791,trash
1.4891400000000001,use
1.4842299999999997,without
1.4792300000000003,anything
1.4710899999999998,zero_star
1.4502499999999996,guy
1.44519,sent
1.4333200000000001,le
1.4329200000000002,lady
1.4315000000000002,spent
1.42882,online
1.4278899999999999,asking
1.42705,arrived
1.4241499999999998,worse
1.40194,elsewhere
1.4001000000000003,response
1.38009,racist
